Time,Treatment,OD_600
0,Water,0.084
0,SSE,0.082
0,P4_SSE,0.112
0,Ch5_SSE,0.091
0,Water,0.083
0,SSE,0.083
0,P4_SSE,0.11
0,Ch5_SSE,0.094
0,Water,0.084
0,SSE,0.083
0,P4_SSE,0.104
0,Ch5_SSE,0.09
1,Water,0.084
1,SSE,0.082
1,P4_SSE,0.108
1,Ch5_SSE,0.089
1,Water,0.082
1,SSE,0.083
1,P4_SSE,0.105
1,Ch5_SSE,0.09
1,Water,0.084
1,SSE,0.083
1,P4_SSE,0.102
1,Ch5_SSE,0.09
2,Water,0.084
2,SSE,0.082
2,P4_SSE,0.112
2,Ch5_SSE,0.091
2,Water,0.082
2,SSE,0.083
2,P4_SSE,0.109
2,Ch5_SSE,0.092
2,Water,0.083
2,SSE,0.084
2,P4_SSE,0.105
2,Ch5_SSE,0.092
3,Water,0.084
3,SSE,0.082
3,P4_SSE,0.121
3,Ch5_SSE,0.094
3,Water,0.082
3,SSE,0.083
3,P4_SSE,0.117
3,Ch5_SSE,0.095
3,Water,0.083
3,SSE,0.084
3,P4_SSE,0.112
3,Ch5_SSE,0.094
4,Water,0.084
4,SSE,0.082
4,P4_SSE,0.138
4,Ch5_SSE,0.098
4,Water,0.083
4,SSE,0.083
4,P4_SSE,0.133
4,Ch5_SSE,0.1
4,Water,0.083
4,SSE,0.087
4,P4_SSE,0.127
4,Ch5_SSE,0.099
5,Water,0.084
5,SSE,0.082
5,P4_SSE,0.164
5,Ch5_SSE,0.105
5,Water,0.083
5,SSE,0.083
5,P4_SSE,0.158
5,Ch5_SSE,0.107
5,Water,0.083
5,SSE,0.089
5,P4_SSE,0.151
5,Ch5_SSE,0.106
6,Water,0.084
6,SSE,0.082
6,P4_SSE,0.198
6,Ch5_SSE,0.117
6,Water,0.083
6,SSE,0.083
6,P4_SSE,0.191
6,Ch5_SSE,0.121
6,Water,0.084
6,SSE,0.089
6,P4_SSE,0.186
6,Ch5_SSE,0.12
7,Water,0.084
7,SSE,0.083
7,P4_SSE,0.232
7,Ch5_SSE,0.139
7,Water,0.082
7,SSE,0.083
7,P4_SSE,0.223
7,Ch5_SSE,0.15
7,Water,0.084
7,SSE,0.088
7,P4_SSE,0.225
7,Ch5_SSE,0.141
8,Water,0.084
8,SSE,0.083
8,P4_SSE,0.26
8,Ch5_SSE,0.17
